20mb-2;27.44;[27,1]
50mb-2;18.29;[17,2]
50mb-1;10.48;[16,2]
20mb-1;10.47;[16,2]
1mb-4;18.26;[17,2]
1mb-2;10.60;[16,2]
1mb-1;10.50;[16,2]
1mb-3;10.42;[16,2]
1mb-4;18.26;[17,2]
1mb-2;10.60;[16,2]
1mb-1;10.50;[16,2]
1mb-3;10.42;[16,2]
1mb-4;18.26;[17,2]
1mb-2;10.60;[16,2]
1mb-1;10.50;[16,2]
1mb-3;10.42;[16,2]
1mb-4;18.26;[17,2]
1mb-2;10.60;[16,2]
1mb-1;10.50;[16,2]
1mb-3;10.42;[16,2]
1mb-4;18.26;[17,2]
1mb-2;10.60;[16,2]
1mb-1;10.50;[16,2]
1mb-3;10.42;[16,2]
1mb-4;18.26;[17,2]
1mb-2;10.60;[16,2]
1mb-1;10.50;[16,2]
1mb-3;10.42;[16,2]
1mb-4;18.26;[17,2]
1mb-2;10.60;[16,2]
1mb-1;10.50;[16,2]
1mb-3;10.42;[16,2]
1mb-4;18.26;[17,2]
1mb-2;10.60;[16,2]
1mb-1;10.50;[16,2]
1mb-3;10.42;[16,2]
